identificador_evento,tipo_evento_astrofisico,ascensao_reta_ra,declinacao_dec,fonte_dados,status_validacao
SDSS J121900.52+404858.7,QSO,184.752172,40.816332,SIMBAD High Energy Database,Validado
SDSS J144734.00+391639.5,QSO,221.89166076975997,39.277631529599994,SIMBAD High Energy Database,Validado
SDSS J144443.32+392729.3,QSO,221.18050497452,39.45814312541,SIMBAD High Energy Database,Validado
SDSS J003226.53+020956.6,QSO,8.110548,2.165723,SIMBAD High Energy Database,Validado
SDSS J144652.66+394339.6,QSO,221.719442,39.727663,SIMBAD High Energy Database,Validado
SDSS J003226.58-043147.6,QSO,8.11076639768,-4.5299025547,SIMBAD High Energy Database,Validado
SDSS J144344.22+401334.8,QSO,220.934283,40.22634,SIMBAD High Energy Database,Validado
SDSS J144242.38+403607.3,QSO,220.67657768782,40.60203572934999,SIMBAD High Energy Database,Validado
SDSS J144403.32+391527.7,QSO,221.01384099999999,39.2577,SIMBAD High Energy Database,Validado
SDSS J144310.12+401852.5,QSO,220.79218019345998,40.314585061500004,SIMBAD High Energy Database,Validado
SDSS J142108.47+401906.4,QSO,215.285294,40.318458,SIMBAD High Energy Database,Validado
SDSS J142251.69+403140.8,QSO,215.715405,40.528015,SIMBAD High Energy Database,Validado
SDSS J003226.68+260900.4,QSO,8.11121247244,26.150117517970003,SIMBAD High Energy Database,Validado
SDSS J141833.29+400902.8,QSO,214.638745,40.150788,SIMBAD High Energy Database,Validado
PSR J2223+0818,Psr,335.8958333333333,8.308333333333334,SIMBAD High Energy Database,Validado
PSR J1914+2624,Psr,288.71666666666664,26.400277777777777,SIMBAD High Energy Database,Validado
PSR J2057+2133,Psr,314.41666666666663,21.550833333333337,SIMBAD High Energy Database,Validado
PSR J0209+2621,Psr,32.25,26.35611111111111,SIMBAD High Energy Database,Validado
PSR J1844+2132,Psr,281.23333333333335,21.59861111111111,SIMBAD High Energy Database,Validado
PSR J2025+2133,Psr,306.4166666666667,21.56083333333334,SIMBAD High Energy Database,Validado
PSR J1623-5005,Psr,245.76712499999996,-50.08752777777779,SIMBAD High Energy Database,Validado
PSR J1617-4608,Psr,244.39629166666668,-46.14347222222222,SIMBAD High Energy Database,Validado
PSR J1830-1414,Psr,277.50166666666667,-14.24361111111111,SIMBAD High Energy Database,Validado
PSR J1355-5747,Psr,208.90374999999997,-57.78750000000001,SIMBAD High Energy Database,Validado
PSR J1801-3458,Psr,270.46958333333333,-34.976944444444456,SIMBAD High Energy Database,Validado
PSR J1732-3426,Psr,263.03,-34.43472222222222,SIMBAD High Energy Database,Validado
PSR J1841-1404,Psr,280.3929166666667,-14.071944444444444,SIMBAD High Energy Database,Validado
PSR J1730-2900,Psr,262.5345833333333,-29.012777777777774,SIMBAD High Energy Database,Validado
SN 2016fnb,SN*,344.61991666666665,-10.555805555555557,SIMBAD High Energy Database,Validado
SN 2020fci,SN*,161.95837500000002,-0.7917500000000001,SIMBAD High Energy Database,Validado
SN 2020ndg,SN*,188.0617875,11.96071111111111,SIMBAD High Energy Database,Validado
PS1-1000001,SN*,52.4530625,-29.074975,SIMBAD High Energy Database,Validado
SN 1967B,SN*,169.59166666666667,3.86,SIMBAD High Energy Database,Validado
SN 2006ub,SN*,36.58891666666668,-8.905505555555555,SIMBAD High Energy Database,Validado
SN 1989F,SN*,194.59675000000001,2.7985277777777777,SIMBAD High Energy Database,Validado
SN 2006iq,SN*,324.89062499999994,10.484861111111112,SIMBAD High Energy Database,Validado
SN 2002bt,SN*,204.05499999999998,-1.0388333333333333,SIMBAD High Energy Database,Validado
SN 2006me,SN*,18.696620833333334,0.17035666666666666,SIMBAD High Energy Database,Validado
SN 2004fp,SN*,37.47088333333333,-9.021265000000001,SIMBAD High Energy Database,Validado
SN 1997er,SN*,75.16066666666667,-3.9922777777777787,SIMBAD High Energy Database,Validado
SN 2004ae,SN*,67.07454166666666,-36.31527777777777,SIMBAD High Energy Database,Validado
SN 2008dy,SN*,2.691875,-47.069611111111115,SIMBAD High Energy Database,Validado
[SCM2012] VLA1,BH?,279.10760416666665,-23.903819444444444,SIMBAD High Energy Database,Validado
[KLM2017] C1,BH?,51.986252500000006,8.7789478,SIMBAD High Energy Database,Validado
[KLM2017] C2,BH?,51.98625229166667,8.778947813888887,SIMBAD High Energy Database,Validado
[KB2007] J110631.8+005253.4,BH?,166.6325,0.8813888888888889,SIMBAD High Energy Database,Validado
[LB2005] NGC  4472 X3,BH?,187.41554166666666,7.891833333333333,SIMBAD High Energy Database,Validado
[KRL2007b] 247,BH?,263.304,-24.156,SIMBAD High Energy Database,Validado
CXOU J122941.0+075744,BH?,187.42083333333332,7.9622222222222225,SIMBAD High Energy Database,Validado
[PPD2017] Cygnus A-2,BH?,299.86801437500003,40.733864805555555,SIMBAD High Energy Database,Validado
[KB2007] J151443.5+365051.0,BH?,228.68124999999998,36.847500000000004,SIMBAD High Energy Database,Validado
[KB2007] J182159.4+642107.5,BH?,275.49750000000006,64.35194444444444,SIMBAD High Energy Database,Validado
[KB2007] J105151.5+005118.1,BH?,162.96458333333334,0.855,SIMBAD High Energy Database,Validado
[SCM2012] VLA2,BH?,279.09926666666667,-23.90930555555555,SIMBAD High Energy Database,Validado
NAME M62-VLA1,BH?,255.30508333333333,-30.11399472222223,SIMBAD High Energy Database,Validado
MAXI J1803-298,BH?,270.92083333333335,-29.80388888888888,SIMBAD High Energy Database,Validado
