,,,
Planetary Systems Composite Parameters (PSCP),,Composite Parameters (retiring),
Database Column Name,Table Label or Comment,Database Column Name,Table Label or Comment
Column3,Column4,Column1,Column2
 pl_name,Planet Name,fpl_name,Planet Name
 hostname,Host Name,fpl_hostname,Host Name
 pl_letter,Planet Letter,fpl_letter,Planet Letter
 hd_name,HD ID,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 hip_name,HIP ID,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 tic_id,TIC ID,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 gaia_id,GAIA ID,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 sy_snum,Number of Stars,fpl_snum,Number of Stars
 sy_pnum,Number of Planets,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 sy_mnum,Number of Moons,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 cb_flag,Circumbinary Flag,fpl_cbflag,Circumbinary Flag
 discoverymethod,Discovery Method,fpl_discmethod,Discovery Method
 disc_year,Discovery Year,fpl_disc,Discovery Year
 disc_refname,Discovery Reference,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 disc_pubdate,Discovery Publication Date,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 disc_locale,Discovery Locale,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 disc_facility,Discovery Facility,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 disc_telescope,Discovery Telescope,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 disc_instrument,Discovery Instrument,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 rv_flag,Detected by Radial Velocity Variations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pul_flag,Detected by Pulsar Timing Variations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 ptv_flag,Detected by Pulsation Timing Variations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 tran_flag,Detected by Transits,fpl_tranflag,Detected by Transits
 ast_flag,Detected by Astrometric Variations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 obm_flag,Detected by Orbital Brightness Modulations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 micro_flag,Detected by Microlensing,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 etv_flag,Detected by Eclipse Timing Variations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 ima_flag,Detected by Imaging,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 dkin_flag,Detected by Disk Kinematics,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pl_controv_flag,Controversial Flag,fpl_controvflag,Controversial Flag
 pl_orbper,Orbital Period [days],fpl_orbper,Orbital Period [days]
 pl_orbpererr1,Orbital Period Upper Unc. [days],fpl_orbpererr1,Orbital Period Upper Unc. [days]
 pl_orbpererr2,Orbital Period Lower Unc. [days],fpl_orbpererr2,Orbital Period Lower Unc. [days]
 pl_orbperlim,Orbital Period Limit Flag,fpl_orbperlim,Orbital Period Limit Flag
 pl_orbper_reflink,Orbital Period Reference,fpl_orbperreflink,Orbital Period Reference
 pl_orbsmax,Orbit Semi-Major Axis [au]),fpl_smax,Orbit Semi-Major Axis [au])
 pl_orbsmaxerr1,Orbit Semi-Major Axis Upper Unc. [au],fpl_smaxerr1,Orbit Semi-Major Axis Upper Unc. [au]
 pl_orbsmaxerr2,Orbit Semi-Major Axis Lower Unc. [au],fpl_smaxerr2,Orbit Semi-Major Axis Lower Unc. [au]
 pl_orbsmaxlim,Orbit Semi-Major Axis Limit Flag,fpl_smaxlim,Orbit Semi-Major Axis Limit Flag
 pl_orbsmax_reflink,Orbit Semi-Major Axis Reference,fpl_smaxreflink,Orbit Semi-Major Axis Reference
 pl_rade,Planet Radius [Earth Radius],fpl_rade,Planet Radius [Earth Radius]
 pl_radeerr1,Planet Radius Upper Unc. [Earth Radius],fpl_radeerr1,Planet Radius Upper Unc. [Earth Radius]
 pl_radeerr2,Planet Radius Lower Unc. [Earth Radius],fpl_radeerr2,Planet Radius Lower Unc. [Earth Radius]
 pl_radelim,Planet Radius Limit Flag,fpl_radelim,Planet Radius Limit Flag
 pl_rade_reflink,Planet Radius Reference,fpl_radreflink,Planet Radius Reference
 pl_radj,Planet Radius [Jupiter Radius],fpl_radj,Planet Radius [Jupiter Radius]
 pl_radjerr1,Planet Radius Upper Unc. [Jupiter Radius],fpl_radjerr1,Planet Radius Upper Unc. [Jupiter Radius]
 pl_radjerr2,Planet Radius Lower Unc. [Jupiter Radius],fpl_radjerr2,Planet Radius Lower Unc. [Jupiter Radius]
 pl_radjlim,Planet Radius Limit Flag,fpl_radjlim,Planet Radius Limit Flag
 pl_radj_reflink,Planet Radius Reference,fpl_radreflink,Planet Radius Reference
 pl_bmasse,Planet Mass or Mass*sin(i) [Earth Mass],fpl_bmasse,Planet Mass or Mass*sin(i) [Earth Mass]
 pl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,fpl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
 pl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,fpl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
 pl_bmasselim,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,fpl_bmasselim,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
 pl_bmasse_reflink,Planet Mass or Mass*sin(i) [Earth Mass] Reference,fpl_bmassreflink,Planet Mass or Mass*sin(i) [Earth Mass] Reference
 pl_bmassj,Planet Mass or Mass*sin(i) [Jupiter Mass],fpl_bmassj,Planet Mass or Mass*sin(i) [Jupiter Mass]
 pl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,fpl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
 pl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,fpl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
 pl_bmassjlim,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,fpl_bmassjlim,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
 pl_bmassj_reflink,Planet Mass or Mass*sin(i) [Jupiter Mass] Reference,fpl_bmassreflink,Planet Mass or Mass*sin(i) [Jupiter Mass] Reference
 pl_bmassprov,Planet Mass or Mass*sin(i) Provenance,fpl_bmassprov,Planet Mass or Mass*sin(i) Provenance
 pl_dens,Planet Density [g/cm**3],fpl_dens,Planet Density [g/cm**3]
 pl_denserr1,Planet Density Upper Unc. [g/cm**3],fpl_denserr1,Planet Density Upper Unc. [g/cm**3]
 pl_denserr2,Planet Density Lower Unc. [g/cm**3],fpl_denserr2,Planet Density Lower Unc. [g/cm**3]
 pl_denslim,Planet Density Limit Flag,fpl_denslim,Planet Density Limit Flag
 pl_dens_reflink,Planet Density Reference,fpl_densreflink,Planet Density Reference
 pl_orbeccen,Eccentricity,fpl_eccen,Eccentricity
 pl_orbeccenerr1,Eccentricity Upper Unc.,fpl_eccenerr1,Eccentricity Upper Unc.
 pl_orbeccenerr2,Eccentricity Lower Unc.,fpl_eccenerr2,Eccentricity Lower Unc.
 pl_orbeccenlim,Eccentricity Limit Flag,fpl_eccenlim,Eccentricity Limit Flag
 pl_orbeccen_reflink,Eccentricity Reference,fpl_eccenreflink,Eccentricity Reference
 pl_insol,Insolation Flux [Earth Flux],fpl_insol,Insolation Flux [Earth Flux]
 pl_insolerr1,Insolation Flux Upper Unc. [Earth Flux],fpl_insolerr1,Insolation Flux Upper Unc. [Earth Flux]
 pl_insolerr2,Insolation Flux Lower Unc. [Earth Flux],fpl_insolerr2,Insolation Flux Lower Unc. [Earth Flux]
 pl_insollim,Insolation Flux Limit Flag,fpl_insollim,Insolation Flux Limit Flag
 pl_insol_reflink,Insolation Flux Reference,fpl_insolreflink,Insolation Flux Reference
 pl_eqt,Equilibrium Temperature [K],fpl_eqt,Equilibrium Temperature [K]
 pl_eqterr1,Equilibrium Temperature Upper Unc. [K],fpl_eqterr1,Equilibrium Temperature Upper Unc. [K]
 pl_eqterr2,Equilibrium Temperature Lower Unc. [K],fpl_eqterr2,Equilibrium Temperature Lower Unc. [K]
 pl_eqtlim,Equilibrium Temperature Limit Flag,fpl_eqtlim,Equilibrium Temperature Limit Flag
 pl_eqt_reflink,Equilibrium Temperature Reference,fpl_eqtreflink,Equilibrium Temperature Reference
 pl_orbincl,Inclination [deg],N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pl_orbinclerr1,Inclination Upper Unc. [deg],N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pl_orbinclerr2,Inclination Lower Unc. [deg],N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pl_orbincllim,Inclination Limit Flag,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pl_orbincl_reflink,Inclination Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
 pl_tranmid,Transit Midpoint [days],N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pl_tranmiderr1,Transit Midpoint Upper Unc. [days],N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pl_tranmiderr2,Transit Midpoint Lower Unc. [days],N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pl_tranmidlim,Transit Midpoint Limit Flag,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pl_tranmid_systemref,Transit Midpoint Time Reference Frame and Standard,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pl_tranmid_reflink,Time of Conjunction (Transit Midpoint) Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
 ttv_flag,Data show Transit Timing Variations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pl_imppar,Impact Parameter,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pl_impparerr1,Impact Parameter Upper Unc.,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pl_impparerr2,Impact Parameter Lower Unc.,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
