===============================================================
Nome do Planeta      | Estrela Hospedeira   | Ano de Descoberta
===============================================================
51 Peg b             | 51 Peg               | 1995
55 Cnc e             | 55 Cnc               | 2004
Kepler-452 b         | Kepler-452           | 2015
Proxima Cen b        | Proxima Cen          | 2016
TRAPPIST-1 b         | TRAPPIST-1           | 2016
GJ 581 c             | GJ 581               | 2007
GJ 667 C c           | GJ 667 C             | 2013
Kepler-1649 c        | Kepler-1649          | 2020
Kepler-186 f         | Kepler-186           | 2014
Kepler-22 b          | Kepler-22            | 2011
Kepler-442 b         | Kepler-442           | 2015
Kepler-62 f          | Kepler-62            | 2013
TOI-700 d            | TOI-700              | 2020
55 Cnc f             | 55 Cnc               | 2007
70 Vir b             | 70 Vir               | 1996
GJ 1214 b            | GJ 1214              | 2009
HD 189733 b          | HD 189733            | 2005
HR 8799 b            | HR 8799              | 2008
K2-18 b              | K2-18                | 2015
KELT-9 b             | KELT-9               | 2017
Kepler-11 c          | Kepler-11            | 2010
Kepler-16 b          | Kepler-16            | 2011
WASP-12 b            | WASP-12              | 2008
HD 209458 b          | HD 209458            | 1999
Kepler-10 b          | Kepler-10            | 2011
TRAPPIST-1 c         | TRAPPIST-1           | 2016
TRAPPIST-1 d         | TRAPPIST-1           | 2016
TRAPPIST-1 e         | TRAPPIST-1           | 2017
TRAPPIST-1 f         | TRAPPIST-1           | 2017
TRAPPIST-1 g         | TRAPPIST-1           | 2017
TRAPPIST-1 h         | TRAPPIST-1           | 2017
