Planetary Systems (PS),,Confirmed Planets (retiring),,Extended Parameters (retiring),
Database   Column Name,Table Label or Comment,Database   Column Name,Table Label or Comment,Database    Column Name,Table Label or Comment
Column1,Column2,Column3,Column4,Column5,Column6
 pl_name,Planet Name,pl_name,Planet Name,mpl_name,Planet Name
 hostname,Host Name,pl_hostname,Host Name,mpl_hostname,Host Name
 pl_letter,Planet Letter,pl_letter,Planet Letter,mpl_letter,Planet Letter
 hd_name,HD ID,hd_name,HD ID,hd_name,HD ID
 hip_name,HIP ID,hip_name,HIP ID,hip_name,HIP ID
 tic_id,TIC ID,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 gaia_dr2_id,Gaia DR2 ID,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
gaia_dr3_id,Gaia DR3 ID,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 default_flag,Default Parameter Set,N/A,PLANETARY SYSTEMS ONLY,mpl_def,Default Parameter Set
 sy_snum,Number of Stars,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 sy_pnum,Number of Planets,pl_pnum,Number of Planets,mpl_pnum,Number of Planets
 sy_mnum,Number of Moons,pl_mnum,Number of Moons,mpl_mnum,Number of Moons
 cb_flag,Circumbinary Flag,pl_cbflag,Circumbinary Flag,N/A,N/A
 discoverymethod,Discovery Method,pl_discmethod,Discovery Method,mpl_discmethod,Discovery Method
 disc_year,Discovery Year,pl_disc,Discovery Year,mpl_disc,Discovery Year
 disc_refname,Discovery Reference,pl_disc_reflink,Discovery Reference,N/A,N/A
 disc_pubdate,Discovery Publication Date,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 disc_locale,Discovery Locale,pl_locale,Discovery Locale,N/A,N/A
 disc_facility,Discovery Facility,pl_facility,Discovery Facility,N/A,N/A
 disc_telescope,Discovery Telescope,pl_telescope,Discovery Telescope,N/A,N/A
 disc_instrument,Discovery Instrument,pl_instrument,Discovery Instrument,N/A,N/A
 rv_flag,Detected by Radial Velocity Variations,pl_rvflag,Detected by Radial Velocity Variations,mpl_rvflag,N/A
 pul_flag,Detected by Pulsar Timing Variations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
 ptv_flag,Detected by Pulsation Timing Variations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,N/A
